title,location,posted,skillSet,Category
Computer Vision & Machine Learning Engineer (Consultant),"Washington, District of Columbia, United States",29 August 2025,Machine Learning,Developer / Engineer
Django Developer,"Birmingham, United Kingdom",28 August 2025,"Back end,Cloud,Database,Web",Developer / Engineer
Backend Engineer (Python) (Consultant),"Worldwide (Remote), Worldwide (Remote), Worldwide (Remote)",27 August 2025,Back end,Developer / Engineer
Senior Full Stack Engineer,"London, United Kingdom",20 August 2025,"Back end,Cloud,Front end",Developer / Engineer
"Software Engineer, OSS - Jupyter","Remote, United States",14 August 2025,"Back end,Front end,Systems,Web",Developer / Engineer
Senior Python Developer,"Remote, USA",14 August 2025,Back end,Developer / Engineer
Backend Python Software Engineer (Hybrid),"Raleigh-Durham, North Carolina, USA",14 August 2025,Back end,Developer / Engineer
Sr. Software Engineer - Remote,"remote, Florida, United States",13 August 2025,"Back end,Front end",Developer / Engineer
Senior Python Developer,"Any, European Union",12 August 2025,Back end,Developer / Engineer
Senior Back-end Software Engineer,"Stavanger, Norway",08 August 2025,"Cloud,Database,Integration,Systems,Web",Developer / Engineer
Senior Python Developer,"Dublin, Dublin, Ireland",07 August 2025,"Back end,Big Data",Developer / Engineer
"Lead Developer, Python, AWS, MedTech - Botley","High Street, Botley, UK",04 August 2025,"Back end,Cloud,Lead,Machine Learning",Developer / Engineer
Senior Software Developer (Python),"Canada - remote, remote in Canada, Canada",31 July 2025,"Back end,Machine Learning",Developer / Engineer
Principal Python Engineer,"Warsaw, Poland",29 July 2025,Back end,Developer / Engineer
Python Software Engineer. AI driven Helpdesk. RASA integration,"London, London, United Kingdom",28 July 2025,"Back end,Integration",Developer / Engineer
Senior Full Stack Engineer - React/Python in Toronto.,"Toronto, Ontario, Canada",24 July 2025,"Back end,Front end",Developer / Engineer
Senior Software Engineer,"San Francisco, California, United States",22 July 2025,"Back end,Big Data,Finance",Developer / Engineer
Senior Software Engineer,"Hyderabad, Telangana, India",21 July 2025,"Back end,Cloud,Front end,Integration,Lead,Management,Web",Developer / Engineer
Senior Python Developer,"Bogotá, Medellin or Cartagena, Cundinamarca, Antioquia or Bolivar, Colombia",11 July 2025,"Back end,Big Data,Cloud,Database,Machine Learning,Management,Operations,Systems,Testing,Text Processing,Web",Developer / Engineer
Senior Backend Engineer,"Full remote, Full remote, Full remote",10 July 2025,"Back end,Database,Testing",Developer / Engineer
Software Engineer – Platform & Systems,"San Francisco, CA, United States",10 July 2025,"Back end,Cloud,Database,Front end,Integration",Developer / Engineer
Senior Python Developer ONSITE,"Brooklyn, NY, United States",08 July 2025,"Back end,Operations,Systems",Developer / Engineer
Open Source Software Engineer,"Remote, Global",05 July 2025,"Back end,Machine Learning",Developer / Engineer
Python Software Engineer Intern,"Remote, Remote, USA",03 July 2025,"Back end,Cloud,Front end,Systems",Developer / Engineer
Full Stack Developer,"Remote, Remote, United States of America",30 June 2025,"Back end,Front end",Developer / Engineer
